Start: 2022-11-15 12:59:43.734735, End: 2022-11-15 12:59:45.737199
Start: 2022-11-15 13:03:54.746448, End: 2022-11-15 13:03:56.757331
Start: 2022-11-15 13:04:46.888184, End: 2022-11-15 13:04:48.891183
Start: 2022-11-15 13:05:25.763632, End: 2022-11-15 13:05:27.778149
Start: 2022-11-15 13:06:06.005599, End: 2022-11-15 13:06:08.019000
Start: 2022-11-15 13:07:03.408370, End: 2022-11-15 13:07:05.414943
Start: 2022-11-15 13:09:16.961017, End: 2022-11-15 13:09:18.975400
Start: 2022-11-15 13:10:17.689006, End: 2022-11-15 13:10:19.693151
Start: 2022-11-15 13:13:09.648013, End: 2022-11-15 13:13:11.654959
Start: 2022-11-15 13:16:19.329097, End: 2022-11-15 13:16:21.341041
Start: 2022-11-15 13:17:06.890095, End: 2022-11-15 13:17:08.897856
